applicant_id,name,domain,university,application_date,status
53,Jennifer Morales,Cybersecurity,NUST,2026-02-28,Selected
54,Carolyn Martinez,Cybersecurity,FAST-NUCES,2026-03-27,Selected
55,Renee Thomas,Mobile App Development,FAST-NUCES,2025-11-01,Rejected
56,Miss Hayley Dunn,Data Science,LUMS,2026-03-05,Rejected
57,Wesley Santos,Mobile App Development,Punjab University,2025-10-28,Under Review
58,Jessica Wiggins,UI/UX Design,GIKI,2026-01-09,Selected
59,David Carter,UI/UX Design,UET Lahore,2026-03-05,Rejected
60,Deanna Barnes,Web Development,Punjab University,2025-11-18,Selected
61,Heather Ellis,Mobile App Development,LUMS,2025-10-28,Rejected
62,Jennifer Hardin,Cybersecurity,Bahria University,2026-01-19,Selected
63,Kelly Smith,Mobile App Development,Bahria University,2026-01-04,Selected
64,Aaron Lloyd,Web Development,UET Lahore,2025-12-24,Rejected
65,Neil Hawkins,Web Development,UET Lahore,2025-11-05,Rejected
66,Kristi Mueller,Cybersecurity,LUMS,2025-12-03,Selected
67,Danielle Hill,Mobile App Development,Bahria University,2025-10-24,Rejected
68,Kristina Wolf,Cybersecurity,Punjab University,2026-02-23,Rejected
69,Lonnie Wagner,Data Science,COMSATS,2026-03-20,Rejected
70,Jodi Ferguson,Data Science,COMSATS,2026-01-06,Rejected
71,Melissa Mcdowell,Data Science,Punjab University,2025-12-31,Rejected
72,Justin Harding,Web Development,UET Lahore,2026-03-26,Under Review
73,Bryan Ramos,UI/UX Design,Punjab University,2026-03-07,Selected
74,Benjamin Caldwell,UI/UX Design,Punjab University,2025-10-18,Rejected
75,Brittany Moran,Mobile App Development,FAST-NUCES,2026-02-25,Selected
76,Stephen Ponce,Data Science,Punjab University,2026-02-02,Rejected
77,Jennifer Freeman,Data Science,NUST,2025-11-14,Rejected
78,Candice Reynolds,UI/UX Design,Punjab University,2026-04-04,Under Review
79,Craig Flores,Web Development,FAST-NUCES,2026-01-07,Rejected
80,Julian Alexander,UI/UX Design,COMSATS,2026-02-14,Rejected
81,Marcus Hunt,UI/UX Design,IBA Karachi,2025-10-08,Under Review
82,Dr. Valerie Garcia,Mobile App Development,IBA Karachi,2025-10-16,Selected
83,Richard Nelson,UI/UX Design,FAST-NUCES,2025-11-22,Rejected
84,Thomas Fuentes,Data Science,LUMS,2025-10-28,Selected
85,Thomas Duncan,Web Development,GIKI,2025-11-21,Selected
86,Anthony Watts,Data Science,GIKI,2026-02-10,Rejected
87,Todd Walters,Mobile App Development,Bahria University,2025-12-21,Selected
88,Scott Jones,Data Science,FAST-NUCES,2026-02-28,Selected
89,Gerald Tran,Cybersecurity,LUMS,2026-03-11,Rejected
90,Carl Rose,UI/UX Design,COMSATS,2026-03-23,Under Review
91,Christopher Williams,Data Science,COMSATS,2025-11-17,Selected
92,Eric Malone,Mobile App Development,Punjab University,2025-11-10,Rejected
93,Cassandra Reed,Mobile App Development,LUMS,2025-11-27,Rejected
94,Adrian Quinn,Web Development,Punjab University,2025-10-08,Under Review
95,John Michael,UI/UX Design,Bahria University,2026-01-13,Rejected
96,Jessica Simpson,UI/UX Design,Bahria University,2025-10-24,Rejected
97,Jonathon Watts,Data Science,Bahria University,2026-03-06,Rejected
98,Ronnie Mann,Cybersecurity,GIKI,2026-04-02,Selected
99,Gregory Brown,Data Science,LUMS,2026-01-29,Rejected
100,Patrick Scott,Data Science,FAST-NUCES,2025-10-28,Selected
101,Ryan Harrell,Cybersecurity,Bahria University,2025-11-03,Selected
102,David Carter,Cybersecurity,FAST-NUCES,2026-02-04,Rejected
103,Jeremy Baker,Cybersecurity,COMSATS,2025-12-28,Selected
104,Kimberly Sanchez,Mobile App Development,FAST-NUCES,2026-03-30,Selected
105,Howard Smith,Cybersecurity,NUST,2026-03-30,Rejected
106,Jonathan Harris,Web Development,Bahria University,2025-12-13,Rejected
107,Dennis Davis,Cybersecurity,UET Lahore,2026-01-05,Rejected
108,Alexander Torres,UI/UX Design,GIKI,2025-12-17,Rejected
109,Kendra Christensen,Cybersecurity,Bahria University,2025-11-16,Under Review
110,Sherry Price,Mobile App Development,COMSATS,2026-02-02,Under Review
111,Mrs. Misty Day,UI/UX Design,FAST-NUCES,2025-12-03,Selected
112,Stephanie Burton,UI/UX Design,FAST-NUCES,2025-10-13,Rejected
113,Brenda Mills,Data Science,COMSATS,2026-02-16,Rejected
114,Regina Mckenzie,Mobile App Development,LUMS,2026-01-05,Rejected
115,Melanie Steele,Mobile App Development,LUMS,2026-01-19,Selected
116,Casey Ward,UI/UX Design,FAST-NUCES,2025-11-16,Selected
117,Kristin Burton,UI/UX Design,LUMS,2025-10-24,Under Review
118,Katherine Smith,Data Science,IBA Karachi,2026-01-27,Selected
119,Kathryn Nichols,Cybersecurity,IBA Karachi,2026-02-27,Rejected
120,Norman King,Data Science,FAST-NUCES,2026-02-02,Selected
121,Nicholas Harris,Mobile App Development,Bahria University,2025-10-18,Selected
122,Kathleen Reyes,UI/UX Design,NUST,2026-02-17,Rejected
123,Pamela Jensen,UI/UX Design,UET Lahore,2025-12-31,Selected
124,Charles King,Cybersecurity,FAST-NUCES,2026-01-30,Under Review
125,Keith Smith,Data Science,FAST-NUCES,2026-02-18,Under Review
126,Michael Schwartz,Web Development,NUST,2025-10-16,Selected
127,Jose Marshall,Data Science,LUMS,2026-02-05,Selected
128,Steven Gonzalez,UI/UX Design,UET Lahore,2025-12-29,Rejected
129,Alicia Stevens,UI/UX Design,Bahria University,2026-04-01,Selected
130,Joanna Adams,Cybersecurity,Punjab University,2026-03-04,Rejected
131,Christine Perkins,Web Development,LUMS,2025-11-12,Selected
132,Tiffany Anderson,UI/UX Design,UET Lahore,2025-10-30,Under Review
133,Stacie Warner,Web Development,UET Lahore,2026-03-04,Rejected
134,Katelyn Johnson,Web Development,COMSATS,2025-11-16,Rejected
135,Jerry Turner Jr.,Web Development,FAST-NUCES,2025-10-05,Selected
136,Ryan Smith,UI/UX Design,Bahria University,2025-12-06,Selected
137,Barbara House,UI/UX Design,UET Lahore,2026-02-19,Under Review
138,Donna Watson,Cybersecurity,Bahria University,2026-02-12,Selected
139,Ms. Heather Patterson MD,Data Science,LUMS,2025-12-15,Under Review
140,Ruben Mitchell,Mobile App Development,COMSATS,2025-10-13,Selected
141,Derek Dixon,Mobile App Development,Bahria University,2026-03-25,Rejected
142,Tyler Henson,Data Science,Bahria University,2025-11-08,Selected
143,Susan Shepard,Data Science,NUST,2026-03-02,Selected
144,Amber Oconnor,Mobile App Development,NUST,2026-01-13,Selected
145,Maria Mitchell,Cybersecurity,COMSATS,2025-12-26,Rejected
146,Bethany Kennedy,Cybersecurity,GIKI,2025-10-13,Rejected
147,Patrick Cherry,Web Development,IBA Karachi,2025-12-06,Rejected
148,Elizabeth Grant,UI/UX Design,IBA Karachi,2025-11-21,Rejected
149,Christopher Clark,Cybersecurity,COMSATS,2025-12-16,Selected
150,Daniel Escobar DVM,Data Science,LUMS,2026-03-19,Selected
151,Corey Davis,UI/UX Design,NUST,2025-12-26,Under Review
152,David Green,Data Science,UET Lahore,2025-12-06,Selected
153,Nicole Gutierrez,UI/UX Design,FAST-NUCES,2026-01-17,Selected
154,Jamie Morgan,UI/UX Design,UET Lahore,2025-12-19,Under Review
155,Walter Martinez,Cybersecurity,UET Lahore,2025-10-16,Selected
156,Shari Robinson,Web Development,LUMS,2026-01-05,Rejected
157,James Griffin,Mobile App Development,UET Lahore,2025-11-23,Rejected
158,Shelley Johnson,Mobile App Development,Bahria University,2026-03-28,Under Review
159,Stephanie Kennedy,Mobile App Development,UET Lahore,2025-10-10,Selected
160,James Mcintosh,Data Science,NUST,2026-01-20,Selected
